"Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"8/6/2014","Died","malibu","No","ANHU","Female-like ",NA,0,"Summer","unknown","Non-selasphorus spp.","6324_ANHU"
"4/18/2003","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","caught by domestic animal","Non-selasphorus spp.","2455_ANHU"
"3/11/2015","Released","malibu","No","Selasphorus","unknown",NA,0,"Spring","unknown","Selasphorus spp.","6500_ALHU"
"6/5/2004","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,0,"Summer","caught by domestic animal","Non-selasphorus spp.","2713_ANHU"
"4/18/2014","Died","Lindsey","No","ANHU","Male",NA,0,"Spring","window hit","Non-selasphorus spp.","4958_ANHU"
"6/27/2009","Died","Lindsey","No","ANHU","Male",NA,0,"Summer","window hit","Non-selasphorus spp.","3769_ANHU"
"8/23/1992","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","unknown","Non-selasphorus spp.","358_ANHU"
"7/22/2009","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","caught by domestic animal","Non-selasphorus spp.","3797_ANHU"
"3/23/2007","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","caught by domestic animal","Non-selasphorus spp.","3231_ANHU"
"5/19/1993","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","470_ANHU"
"2/23/2013","Died","malibu","No","Non-selasphorus","unknown",NA,0,"Winter","nest-related","Non-selasphorus spp.","5745_ANHU"
"12/12/2012","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","unknown","Non-selasphorus spp.","4585_ANHU"
"6/18/2013","Died","malibu","No","Selasphorus","Female-like ",NA,0,"Summer","unknown","Selasphorus spp.","5989_ALHU"
