"Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"2/25/2016","Died","malibu","No","Selasphorus","unknown",NA,-27,"Winter","nest-related","Selasphorus spp.","6655_ALHU"
"7/20/2007","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Summer","caught by domestic animal","Non-selasphorus spp.","3355_ANHU"
"5/3/2016","Released","Santa Barbara","No","Selasphorus","unknown",NA,0,"Spring","caught by domestic animal","Selasphorus spp.","6869_ALHU"
"12/5/2012","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","window hit","Non-selasphorus spp.","4584_ANHU"
"4/21/2010","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","3926_ANHU"
"5/24/2002","Released","Lindsey","Yes","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","2254_ANHU"
"2/19/1994","Died","Lindsey","Yes","ANHU","Female-like ",NA,2,"Winter","found on the ground","Non-selasphorus spp.","568_ANHU"
"4/9/2014","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,0,"Spring","nest-related","Non-selasphorus spp.","4948_ANHU"
"8/3/1999","Died","Lindsey","No","Selasphorus","Female-like ",NA,1,"Summer","caught by domestic animal","Selasphorus spp.","1698_ALHU"
"6/5/2007","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","caught by domestic animal","Non-selasphorus spp.","3309_ANHU"
"4/9/1999","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","caught by domestic animal","Non-selasphorus spp.","1583_ANHU"
"3/7/2012","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","caught by domestic animal","Non-selasphorus spp.","4374_ANHU"
"11/16/2007","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Fall","found on the ground","Non-selasphorus spp.","3384_ANHU"
"6/3/1998","Released","Lindsey","No","Non-selasphorus","unknown",NA,0,"Summer","nest-related","Non-selasphorus spp.","1434_ANHU"
"6/5/2013","Released","malibu","No","Selasphorus","Female-like ",NA,0,"Summer","unknown","Selasphorus spp.","5960_ALHU"
"11/3/2015","Released","malibu","No","ANHU","Female-like ",NA,0,"Fall","window hit","Non-selasphorus spp.","6569_ANHU"
"3/12/1995","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Spring","unknown","Non-selasphorus spp.","773_ANHU"
"11/10/2013","Died","Lindsey","No","ANHU","Male",NA,0,"Fall","found inside","Non-selasphorus spp.","4825_ANHU"
"3/16/1996","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Spring","nest-related","Non-selasphorus spp.","981_ANHU"
"4/24/1993","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","452_ANHU"
"5/28/2014","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","nest-related","Non-selasphorus spp.","5018_ANHU"
"3/7/1995","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Spring","found on the ground","Non-selasphorus spp.","765_ANHU"
"2/3/2015","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","found on the ground","Non-selasphorus spp.","5164_ANHU"
"8/19/2001","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","suspect torpor-like state","Non-selasphorus spp.","2116_ANHU"
"2/25/2006","Released","Lindsey","No","Non-selasphorus","unknown",NA,0,"Winter","found on the ground","Non-selasphorus spp.","3009_ANHU"
"4/11/2015","Died","Lindsey","No","ANHU","Male",NA,0,"Spring","found on the ground","Non-selasphorus spp.","5260_ANHU"
"4/12/2008","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","3470_ANHU"
"5/21/1998","Died","Lindsey","No","Non-selasphorus","unknown",NA,1,"Spring","found on the ground","Non-selasphorus spp.","1422_ANHU"
"6/21/2003","Released","Lindsey","No","ANHU","Female-like ",NA,2,"Summer","found inside","Non-selasphorus spp.","2520_ANHU"
"4/12/2014","Died","malibu","Yes","Selasphorus","Female-like ",NA,1,"Spring","found on the ground","Selasphorus spp.","6091_ALHU"
"8/5/2009","Released","Lindsey","No","ANHU","Male",NA,0,"Summer","found on the ground","Non-selasphorus spp.","3803_ANHU"
"1/15/1997","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","found inside","Non-selasphorus spp.","1148_ANHU"
"3/21/2010","Released","Lindsey","Yes","ANHU","Female-like ",NA,1,"Spring","found on the ground","Non-selasphorus spp.","3888_ANHU"
"12/3/2006","Died","Lindsey","No","ANHU","Female-like ",NA,1,"Winter","found on the ground","Non-selasphorus spp.","3175_ANHU"
"7/10/2004","Released","Lindsey","No","Non-selasphorus","unknown",NA,0,"Summer","found on the ground","Non-selasphorus spp.","2745_ANHU"
"7/11/1998","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Summer","caught by domestic animal","Non-selasphorus spp.","1464_ANHU"
"5/9/2012","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","unknown","Non-selasphorus spp.","4464_ANHU"
"8/12/2003","Died","Lindsey","No","ANHU","Female-like ",NA,1,"Summer","found inside","Non-selasphorus spp.","2558_ANHU"
"11/2/2016","Died","Lindsey","No","ANHU","Male",NA,0,"Fall","caught by domestic animal","Non-selasphorus spp.","5727_ANHU"
"3/12/1995","Released","Lindsey","Yes","ANHU","Female-like ",NA,9,"Spring","found on the ground","Non-selasphorus spp.","769_ANHU"
"2/29/2000","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","found on the ground","Non-selasphorus spp.","1753_ANHU"
"6/21/1998","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","caught by domestic animal","Non-selasphorus spp.","1445_ANHU"
"5/12/2005","Released","Lindsey","No","Non-selasphorus","unknown",NA,0,"Spring","found on the ground","Non-selasphorus spp.","2876_ANHU"
"3/29/1997","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","caught by domestic animal","Non-selasphorus spp.","1196_ANHU"
"11/22/2015","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Fall","found on the ground","Non-selasphorus spp.","5452_ANHU"
"5/1/2012","Died","Lindsey","No","Selasphorus","Female-like ",NA,0,"Spring","window hit","Selasphorus spp.","4453_ALHU"
"7/8/2015","Died","Lindsey","No","ANHU","Male",NA,0,"Summer","found on the ground","Non-selasphorus spp.","5413_ANHU"
"11/20/2015","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Fall","window hit","Non-selasphorus spp.","5450_ANHU"
"3/11/1994","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Spring","found on the ground","Non-selasphorus spp.","582_ANHU"
"6/26/2014","Released","malibu","No","Selasphorus","Female-like ",NA,0,"Summer","unknown","Selasphorus spp.","6315_ALHU"
"1/15/2004","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","found on the ground","Non-selasphorus spp.","2587_ANHU"
"6/29/1992","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","unknown","Non-selasphorus spp.","333_ANHU"
"3/20/1995","Released","Lindsey","Yes","ANHU","Female-like ",NA,3,"Spring","found on the ground","Non-selasphorus spp.","785_ANHU"
"3/5/2003","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","2401_ANHU"
"6/19/2003","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","caught by domestic animal","Non-selasphorus spp.","2517_ANHU"
"7/17/1995","Released","Lindsey","Yes","Selasphorus","Female-like ",NA,2,"Summer","found on the ground","Selasphorus spp.","900_ALHU"
"2/12/2009","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","found on the ground","Non-selasphorus spp.","3616_ANHU"
"7/3/1995","Released","Lindsey","Yes","ANHU","Female-like ",NA,0,"Summer","unknown","Non-selasphorus spp.","890_ANHU"
"7/2/2002","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,4,"Summer","nest-related","Non-selasphorus spp.","2298_ANHU"
"4/20/2011","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Spring","unknown","Non-selasphorus spp.","4179_ANHU"
"1/2/1992","Died","Lindsey","Yes","Non-selasphorus","unknown",NA,1,"Winter","nest-related","Non-selasphorus spp.","192_ANHU"
"1/4/2013","Died","malibu","No","ANHU","Male",NA,0,"Winter","unknown","Non-selasphorus spp.","5729_ANHU"
"7/7/1998","Released","Lindsey","No","Selasphorus","unknown",NA,0,"Summer","nest-related","Selasphorus spp.","1457_ALHU"
"6/22/1994","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Summer","caught by domestic animal","Non-selasphorus spp.","683_ANHU"
"2/23/2013","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Winter","nest-related","Non-selasphorus spp.","4615_ANHU"
"4/13/2015","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","5267_ANHU"
"5/7/2010","Released","Lindsey","No","ANHU","Male",NA,30,"Spring","caught by domestic animal","Non-selasphorus spp.","3946_ANHU"
"6/8/2016","Died","malibu","Yes","Selasphorus","Female-like ",NA,0,"Summer","found on the ground","Selasphorus spp.","6754_ALHU"
"1/5/1991","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","found on the ground","Non-selasphorus spp.","6_ANHU"
"9/12/1997","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Fall","found on the ground","Non-selasphorus spp.","1307_ANHU"
"6/4/2005","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Summer","nest-related","Non-selasphorus spp.","2906_ANHU"
"10/2/2001","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Fall","unknown","Non-selasphorus spp.","2125_ANHU"
"3/28/2013","Died","Lindsey","No","ANHU","Male",NA,0,"Spring","found on the ground","Non-selasphorus spp.","4661_ANHU"
"3/29/2014","Died","Lindsey","No","ANHU","Male",NA,1,"Spring","found on the ground","Non-selasphorus spp.","4923_ANHU"
"1/3/1999","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Winter","found on the ground","Non-selasphorus spp.","1523_ANHU"
"6/12/2006","Released","Lindsey","Yes","ANHU","Female-like ",NA,11,"Summer","found on the ground","Non-selasphorus spp.","3104_ANHU"
"4/6/1991","Died","Lindsey","No","ANHU","Female-like ",NA,1,"Spring","unknown","Non-selasphorus spp.","60_ANHU"
"8/16/2002","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","window hit","Non-selasphorus spp.","2324_ANHU"
